spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20000071,    71 Niobe (A861 PA),Niobe,N,0,7.24,JPL 115,0.1768,2.754,2.267,23.24,315.91,267.06,2460716.83,1670,4.57,1.4,545,2.2,3.21,58578,0,0.38492,N,MBA
20000072,    72 Feronia (A861 KA),Feronia,N,0,9.08,JPL 146,0.1215,2.266,1.99,5.42,207.93,102.84,2461068.98,1250,3.41,0.985,383,2.68,3.6,58048,0,0.37109,N,MBA
20000073,    73 Klytia (A862 GA),Klytia,N,0,9.08,JPL 72,0.0422,2.665,2.552,2.37,6.84,56.34,2461104.17,1590,4.35,1.57,609,2.35,3.38,58416,0,0.34582,N,MBA
20000074,    74 Galatea (A862 QA),Galatea,N,0,8.94,JPL 135,0.2362,2.78,2.123,4.07,197.11,174.86,2460697.69,1690,4.64,1.12,437,2.03,3.29,58664,0,0.31603,N,MBA
20000075,    75 Eurydike (A862 SA),Eurydike,N,0,9.27,JPL 113,0.3039,2.675,1.862,4.99,359.3,339.62,2460368.57,1600,4.38,0.854,332,1.91,3.31,58660,0,0.29813,N,MBA
20000076,    76 Freia (A862 UA),Freia,N,0,8.03,JPL 86,0.1675,3.41,2.839,2.12,204.28,252.07,2461386.47,2300,6.3,1.86,723,1.22,3.12,58595,0,0.35726,N,OMB
20000077,    77 Frigga (A862 VA),Frigga,N,0,8.63,JPL 109,0.1339,2.669,2.312,2.42,1.08,61.34,2460529.15,1590,4.36,1.33,516,2.29,3.37,53017,0,0.41816,N,MBA
20000078,    78 Diana (A863 EA),Diana,N,0,8.34,JPL 124,0.2034,2.622,2.089,8.68,333.3,153.2,2460332.02,1550,4.25,1.11,432,1.92,3.36,58903,0,0.40657,N,MBA
20000079,    79 Eurynome (A863 RA),Eurynome,N,0,7.78,JPL 139,0.1912,2.445,1.977,4.61,206.52,201.51,2460507.3,1400,3.82,0.988,384,2.48,3.47,58761,0,0.29451,N,MBA
20000080,    80 Sappho (A864 JA),Sappho,N,0,8.06,JPL 72,0.1997,2.296,1.838,8.68,218.64,139.61,2460798.17,1270,3.48,0.844,329,2.73,3.55,58069,0,0.47636,N,MBA
20000081,    81 Terpsichore (A864 SA),Terpsichore,N,0,8.71,JPL 83,0.2121,2.853,2.248,7.8,0.9,51.29,2460421.09,1760,4.82,1.27,493,2.01,3.26,58369,0,0.29576,N,MBA
20000082,    82 Alkmene (A864 WA),Alkmene,N,0,8.27,JPL 141,0.2209,2.762,2.152,2.83,25.43,110.88,2461134.86,1680,4.59,1.17,455,1.68,3.3,58355,0,0.32027,N,MBA
20000083,    83 Beatrix (A865 HA),Beatrix,N,0,8.75,JPL 137,0.0828,2.432,2.23,4.97,27.67,169.98,2460493.03,1390,3.79,1.23,479,2.32,3.5,58150,0,0.354,N,MBA
20000084,    84 Klio (A865 QA),Klio,N,0,9.34,JPL 115,0.2356,2.363,1.806,9.31,327.5,15.07,2460857.18,1330,3.63,0.799,311,2.48,3.5,58085,0,0.39185,N,MBA
20000085,    85 Io (A865 SA),Io,N,0,7.95,JPL 133,0.1934,2.654,2.141,11.96,203.05,122.89,2460788.84,1580,4.32,1.16,450,2.33,3.33,58065,0,0.3172,N,MBA
20000086,    86 Semele (A866 AA),Semele,N,0,8.73,JPL 131,0.2166,3.104,2.432,4.82,86.07,309.07,2460645.55,2000,5.47,1.44,561,1.67,3.18,55775,0,0.38996,N,MBA
20000087,    87 Sylvia (A866 KA),Sylvia,N,2,6.95,JPL 119,0.0939,3.477,3.151,10.88,73.01,264.63,2460367.36,2370,6.48,2.17,843,1.57,3.1,50899,0,0.33502,N,OMB
20000088,    88 Thisbe (A866 LA),Thisbe,N,0,7.28,JPL 180,0.1634,2.771,2.319,5.22,276.32,37.05,2460057.97,1690,4.61,1.31,509,2.04,3.31,57792,0,0.45589,N,MBA
20000089,    89 Julia (A866 PA),Julia,N,0,6.37,JPL 135,0.184,2.551,2.082,16.12,311.53,45.17,2461007.1,1490,4.08,1.1,429,2.46,3.36,57734,0,0.47297,N,MBA
20000090,    90 Antiope (A866 TA),Antiope,N,1,8.45,JPL 133,0.1711,3.145,2.607,2.21,69.92,244.5,2459818.65,2040,5.58,1.59,620,1.6,3.19,57689,0,0.36923,N,MBA
20000091,    91 Aegina (A866 VA),Aegina,N,0,9.14,JPL 152,0.1076,2.589,2.31,2.1,10.42,74.47,2460940.32,1520,4.17,1.33,517,2.32,3.41,57649,0,0.27508,N,MBA
20000092,    92 Undina (A867 NA),Undina,N,0,6.77,JPL 126,0.1051,3.184,2.85,9.92,101.4,236.84,2459628.34,2080,5.68,1.85,722,1.83,3.17,55962,0,0.41077,N,MBA
20000093,    93 Minerva (A867 QA),Minerva,N,2,7.9,JPL 141,0.1422,2.755,2.363,8.54,3.84,275.81,2461403.57,1670,4.57,1.37,532,2.06,3.31,56445,0,0.38858,N,MBA
20000094,    94 Aurora (A867 RA),Aurora,N,0,7.73,JPL 128,0.0957,3.154,2.852,7.97,2.54,60.47,2460939.81,2050,5.6,1.88,730,1.88,3.19,55564,0,0.27607,N,MBA
20000095,    95 Arethusa (A867 WA),Arethusa,N,0,8.02,JPL 67,0.153,3.064,2.595,13.01,242.94,152.77,2460150.51,1960,5.36,1.61,627,1.91,3.18,55372,0,0.37653,N,MBA
20000096,    96 Aegle (A868 DA),Aegle,N,0,7.68,JPL 133,0.1419,3.05,2.617,15.98,321.47,207.97,2459978.41,1950,5.33,1.64,637,1.58,3.16,57180,0,0.32878,N,MBA
20000097,    97 Klotho (A868 DB),Klotho,N,0,7.84,JPL 126,0.2578,2.668,1.98,11.78,159.59,268.38,2460407.66,1590,4.36,1.03,402,2.13,3.31,56102,0,0.41946,N,MBA
20000098,    98 Ianthe (A868 HA),Ianthe,N,0,8.97,JPL 114,0.1878,2.686,2.182,15.58,353.89,158.29,2461254.09,1610,4.4,1.2,467,1.81,3.3,56212,0,0.26694,N,MBA
20000099,    99 Dike (A868 KA),Dike,N,0,9.48,JPL 128,0.1976,2.663,2.137,13.86,41.41,195.48,2460697.93,1590,4.35,1.13,440,1.82,3.32,39978,0,0.31765,N,MBA
20000100,   100 Hekate (A868 NA),Hekate,N,0,7.78,JPL 67,0.1681,3.089,2.57,6.43,127.17,183.68,2461203.54,1980,5.43,1.56,605,1.66,3.19,56053,0,0.29304,N,MBA
20000101,   101 Helena (A868 PA),Helena,N,0,8.42,JPL 131,0.1407,2.583,2.22,10.19,343.37,347.84,2461153.86,1520,4.15,1.21,471,2.41,3.39,55986,0,0.27555,N,MBA
